"Country","Recovery","Death","Region"
"Mayotte","40,612","187","Africa"
"Tanzania","40,311","845","Africa"
"Togo","39,321","290","Africa"
"Guinea","38,153","464","Africa"
"Isle of Man","38,008","116","Europe"
"Bahamas","37,436","833","North America"
"Faeroe Islands","34,658","28","Europe"
"Lesotho","34,490","706","Africa"
"Haiti","33,837","860","North America"
"Mali","32,755","742","Africa"
"Cayman Islands","31,194","36","North America"
"Saint Lucia","29,550","404","North America"
"Benin","27,922","163","Africa"
"Somalia","27,254","1,361","Africa"
"Congo","25,375","386","Africa"
"Timor-Leste","23,320","138","Asia"
"Micronesia","22,203","55","Australia/Oceania"
"San Marino","21,798","119","Europe"
"Burkina Faso","21,631","387","Africa"
"Solomon Islands","21,544","153","Australia/Oceania"
"Liechtenstein","20,815","87","Europe"
"Gibraltar","20,166","110","Europe"
"Grenada","19,613","237","North America"
"Nicaragua","18,491","225","North America"
"Bermuda","18,463","151","North America"
"South Sudan","18,339","138","Africa"
"Tajikistan","17,786","125","Asia"
"Equatorial Guinea","17,182","183","Africa"
"Tonga","16,182","12","Australia/Oceania"
"Samoa","15,946","29","Australia/Oceania"
"Dominica","15,760","74","North America"
"Djibouti","15,690","189","Africa"
"Marshall Islands","15,389","17","Australia/Oceania"
"Central African Republic","15,289","113","Africa"
"Monaco","15,195","63","Europe"
"Gambia","12,580","372","Africa"
"Saint Martin","12,034","63","North America"
"Greenland","11,971","21","North America"
"Vanuatu","11,952","14","Australia/Oceania"
"Yemen","11,945","2,159","Asia"
"Caribbean Netherlands","11,378","36","North America"
"Sint Maarten","10,931","89","North America"
"Eritrea","10,189","103","Africa"
"Niger","9,931","312","Africa"
"Antigua and Barbuda","9,106","146","North America"
"Comoros","8,925","161","Africa"
"Guinea-Bissau","8,848","176","Africa"
"Liberia","8,014","294","Africa"
"Sierra Leone","7,758","126","Africa"
"Chad","7,637","194","Africa"
"British Virgin Islands","7,305","64","North America"
"St. Vincent & Grenadines","7,112","115","North America"
"Saint Kitts & Nevis","6,552","46","North America"
"Turks and Caicos","6,431","36","North America"
"Cook Islands","6,389","1","Australia/Oceania"
"Sao Tome & Principe","6,275","77","Africa"
"Palau","5,572","7","Australia/Oceania"
"Saint Barthelemy","5,336","6","North America"
"Nauru","4,618","1","Australia/Oceania"
"Anguilla","3,904","12","North America"
"Kiribati","3,430","13","Australia/Oceania"
"Saint Pierre & Miquelon","3,231","1","North America"
"Tuvalu","2,019","0","Australia/Oceania"
"Falkland Islands","1,930","0","South America"
"Saint Helena","1,803","0","Africa"
"Montserrat","1,403","8","North America"
"Macao","795","6","Asia"
"Wallis & Futuna","761","7","Australia/Oceania"
"Niue","97","0","Australia/Oceania"
"Holy See","29","0","Europe"
"Western Sahara","10","1","Africa"
"MS Zaandam","9","2",""
